Tag,PaperId,AuthorIdsOrder,AuthorNamesOrder,authorCount,unknownCount,femaleCount,femaleProp,1st,2nd,3rd,4th,5th,last,FoSNames,Year,DocType,Journal,Publisher,Doi,Title,EstimatedCitation,IndexedAbstract,WoSID,WoSjournal,jfraction,subd_name,disc_name
Reproducibility,2317029889,2018199655; 2503812393,Cheol-Ho Jeong; Jiho Chang,2,2,0,,,,,,,,attenuation coefficient; reproducibility; optics; mathematics,2015,Journal,Acta Acustica United With Acustica,S.Hirzel Verlag,10.3813/AAA.918808,Reproducibility of The Random Incidence Absorption Coefficient Converted From the Sabine Absorption Coefficient.,6,,WOS:000348020800011,acta acustica united with acustica,1.0,Acoustics,"Chemical, Mechanical, & Civil Engineering"
Reproducibility,2161978863,2342816989; 2137657271; 2519364924; 2050852884; 1968150620; 2775861346,Pisha Pittayapat; Reinhilde Jacobs; Guillaume A. Odri; Karla de Faria Vasconcelos; Guy Willems; Raphaël Olszewski,6,3,1,0.3333333333333333,,,0.0,1.0,0.0,,sella turcica; reproducibility; mathematics; cone beam computed tomography; radiology,2015,Journal,Imaging Science in Dentistry,Korean Academy of Oral and Maxillofacial Radiology,10.5624/isd.2015.45.1.15,Reproducibility of the sella turcica landmark in three dimensions using a sella turcica-specific reference system,2,This study was performed to assess the reproducibility of identifying the sella turcica landmark in a three-dimensional (3D) model by using a new sella-specific landmark reference system.,,,,,
Reproducibility,2771303336,2775202953; 2214500577; 2774920059; 2774132161; 2772025280; 2123106312; 2099657634,N. Nakajima; Hiroyuki Hokama; T. Seno; S. Shitara; R. Itagaki; Masayuki Ueda; Kazumi Kimura,7,6,0,0.0,,0.0,,,,,medicine; physical therapy; reproducibility; radiology; software,2017,Journal,Journal of the Neurological Sciences,,10.1016/j.jns.2017.08.2275,Reproducibility of the semi-quantitative assessment of 123I-FP-CIT SPECT using striatal analysis software,0,,,,1.0,Neurology,Brain Research
Reproducibility,2062434581,2565625062,Domingo Docampo,1,0,0,0.0,0.0,,,,,0.0,ranking; ambiguity; reproducibility; computer science; data mining; spite,2013,Journal,Scientometrics,Springer Netherlands,10.1007/s11192-012-0801-y,Reproducibility of the Shanghai academic ranking of world universities results,62,"This paper discusses and copes with the difficulties that arise when trying to reproduce the results of the Shanghai academic ranking of world universities. In spite of the ambiguity of the methodology of the ranking with regard to the computation of the scores on its six indicators, the paper presents a set of straightforward procedures to estimate raw results and final relative scores. Discrepancies between estimated scores and the results of the ranking are mostly associated with the difficulties encountered in the identification of institutional affiliations, and are not significant. We can safely state that the results of the Shanghai academic ranking of world universities are in fact reproducible.",WOS:000313711500007,scientometrics,1.0,Human Resource Management,Social Sciences
Reproducibility,2101805339,2185802430; 1902419250; 1717605369; 221013022; 1997560753; 2091567333; 2241495673; 2098938636; 2748968735,Leonardo Bonilha; Ezequiel Gleichgerrcht; Julius Fridriksson; Chris Rorden; Jesse Breedlove; Travis Nesland; Walter Paulus; Gunther Helms; N Focke,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,brain; computer science; connectome; connectomics; artificial intelligence; computer vision; reproducibility; diffusion mri; neuroanatomy; tractography; neuroimaging,2015,Journal,PLOS ONE,Public Library of Science,10.1371/journal.pone.0135247,Reproducibility of the structural brain connectome derived from diffusion tensor imaging,14,"Rationale 
Disruptions of brain anatomical connectivity are believed to play a central role in several neurological and psychiatric illnesses. The structural brain connectome is typically derived from diffusion tensor imaging (DTI), which may be influenced by methodological factors related to signal processing, MRI scanners and biophysical properties of neuroanatomical regions. In this study, we evaluated how these variables affect the reproducibility of the structural connectome.
Methods 
Twenty healthy adults underwent 3 MRI scanning sessions (twice in the same MRI scanner and a third time in a different scanner unit) within a short period of time. The scanning sessions included similar T1 weighted and DTI sequences. Deterministic or probabilistic tractography was performed to assess link weight based on the number of fibers connecting gray matter regions of interest (ROI). Link weight and graph theory network measures were calculated and reproducibility was assessed through intra-class correlation coefficients, assuming each scanning session as a rater.
Results 
Connectome reproducibility was higher with data from the same scanner. The probabilistic approach yielded larger reproducibility, while the individual variation in the number of tracked fibers from deterministic tractography was negatively associated with reproducibility. Links connecting larger and anatomically closer ROIs demonstrated higher reproducibility. In general, graph theory measures demonstrated high reproducibility across scanning sessions.
Discussion 
Anatomical factors and tractography approaches can influence the reproducibility of the structural connectome and should be factored in the interpretation of future studies. Our results demonstrate that connectome mapping is a largely reproducible technique, particularly as it relates to the geometry of network architecture measured by graph theory methods.",WOS:000360613800024,plos one,1.0,Molecular Biology Methods,Infectious Diseases
Reproducibility,1963692480,2111684701; 2443529159; 2031088240; 2109503258; 2157310927; 2692793122; 2653480381; 2676658516,Pierre Louis Bernard; M. Amato; Francis Degache; Pascal Edouard; S. Ramdani; H. Blain; P. Calmels; P. Codine,8,5,0,0.0,0.0,,0.0,0.0,,,torque; standard error; dynamometer; medicine; reproducibility; physical therapy; coefficient of variation,2012,Journal,Annals of Physical and Rehabilitation Medicine,Ann Phys Rehabil Med,10.1016/j.rehab.2012.01.005,Reproducibility of the time to peak torque and the joint angle at peak torque on knee of young sportsmen on the isokinetic dynamometer,8,"Abstract Background Although peak torque has shown acceptable reproducibility, this may not be the case with two other often used parameters: time to peak torque (TPT) and the angle of peak torque (APT). Those two parameters should be used for the characterization of muscular adaptations in athletes. Methods The isokinetic performance of the knee extensors and flexors in both limbs was measured in 29 male athletes. The experimental protocol consisted of three consecutive identical paradigms separated by 45 min breaks. Each test consisted of four maximal concentric efforts performed at 60 and 180°/s. Reproducibility was quantified by the standard error measurement (SEM), the coefficient of variation (CV) and by means of intra-class correlation coefficients (ICCs) with the calculation of 6 forms of ICCs. Results Using ICC as the indicator of reproducibility, the correlations for TPT of both limbs showed a range of 0.51–0.65 in extension and 0.50–0.63 in flexion. For APT, the values were 0.46–0.60 and 0.51–0.81, respectively. In addition, the calculated standard error of measurement (SEM) and CV scores confirmed the low level of absolute reproducibility. Conclusions Due to their low reproducibility, neither TPT nor APT can serve as independent isokinetic parameters of knee flexor and extensor performance. So, given its reproducibility level, TPT and APT should not be used for the characterization of muscular adaptations in athletes.",,,,,
Reproducibility,2614156184,2120198350; 2125283894; 1170286592; 2113717335; 2435980229; 299985286,Carlos Augusto de Mattos; Alexandre Atsushi Koza Jesus; Michelle dos Santos Floter; Luccas Franco Bettencourt Nunes; Bárbara de Baptista Sanches; José Luís Amim Zabeu,6,1,2,0.4,0.0,0.0,1.0,0.0,1.0,,medicine; concordance; surgery; reproducibility,2015,Journal,Revista Brasileira De Ortopedia,Rev Bras Ortop,10.1016/j.rboe.2015.08.002,Reproducibility of the Tronzo and AO classifications for transtrochanteric fractures,0,"Abstract Objective To analyze the reproducibility of the Tronzo and AO classifications for transtrochanteric fractures. Method This was a cross-sectional study in which the intraobserver and interobserver concordance between two readings made by 11 observers was analyzed. The analysis of the variations used the kappa statistical method. Results Moderate concordance was found in relation to the AO classification, while slight concordance was found for the Tronzo classification. Conclusion This study found that the AO/Asif classification for transtrochanteric presented greater intra and interobserver reproducibility and that greater concordance was correlated with greater experience of the observers. Without division into subgroups, the AO/Asif classification was shown, as described in the literature, to be acceptable for clinical use in relation to transtrochanteric fractures of the femur, although it did not show absolute concordance, given that its concordance level was only moderate. Nonetheless, its concordance was better than that of the Tronzo classification.",,,,,
Reproducibility,2314552542,2250804322; 2478184161; 2328783999; 2103769777; 161986794,Heather M. Hayes; Jonathan Myers; Alyssa Powell; Kimberly A. Smith; Ronald L. Dalman,5,0,3,0.6,1.0,0.0,1.0,1.0,0.0,0.0,physical medicine and rehabilitation; medicine; reproducibility; physical therapy,2011,Journal,Medicine and Science in Sports and Exercise,,10.1249/01.MSS.0000401683.31930.08,Reproducibility Of The VA Physical Activity Questionnaire (VAPAQ) In An Elderly Population: 2283,0,,,,1.0,Sports Medicine,Health Professionals
Reproducibility,2108302629,2602014450; 2158168132; 2055691802; 2586905819; 1992178762; 2421475472; 2635813175; 2713844658; 2597947732; 2435746978; 2619718089; 2115967980; 2166344114; 2657663583; 2649854888,P. Zucali; Matteo Simonelli; Massimo Roncalli; Laura Giordano; Marco Alloisio; Armando Santoro; Giuseppe Giaccone; L. Di Tommaso; Iacopo Petrini; Serena Battista; Hyeseung Lee; Maria J. Merino; E. Lorenzi; E. Voulaz; F. De Vincenzo,15,5,5,0.5,,0.0,0.0,1.0,0.0,1.0,pathology; retrospective cohort study; thymoma; medicine; radiology; reproducibility,2013,Journal,Lung Cancer,NIH Public Access,10.1016/j.lungcan.2012.11.015,Reproducibility of the WHO classification of thymomas: Practical implications,18,"Background
The WHO-classification was shown to be an independent prognostic marker in some but not all retrospective studies possibly due to lack of reproducibility. We investigated the reproducibility of the WHO-classification and its prognostic implication using a large series of resected thymomas.",WOS:000315238900007,lung cancer,1.0,Lung Cancer,Medical Specialties
Reproducibility,2773734420,2771526955; 2773504379,Petr Minar; Tomas Gregor,2,0,0,0.0,0.0,0.0,,,,0.0,reproducibility; computer science; control engineering; machine tool,2017,Journal,MM Science Journal,,10.17973/MMSJ.2017_12_201779,REPRODUCIBILITY OF THERMAL ERROR BEHAVIOUR IN MACHINE TOOLS FROM THE SAME MODEL TYPE,0,,,,,,
Reproducibility,2768250788,2768596123; 2331520190,潘永强 Pan Yongqiang; 陈 佳 Chen Jia,2,2,0,,,,,,,,plasma enhanced chemical vapor deposition; optics; analytical chemistry; reproducibility; physics; thin film; microstructure,2017,Journal,Laser & Optoelectronics Progress,,10.3788/LOP54.113102,Reproducibility of Thin Films Deposited on Microstructure Surface by PECVD Technology,0,,,,,,
Reproducibility,1597322443,2132360220; 2091547117; 2170711498; 1987499291; 2516140194; 2215934772; 2310061831,Bettina Baessler; Frank Schaarschmidt; Bernhard Schnackenburg; Christian Stehning; Agathe Giolda; David Maintz; Alexander C. Bunck,7,1,1,0.16666666666666666,1.0,0.0,0.0,0.0,,0.0,reproducibility; medicine; information retrieval; bioinformatics; text mining,2015,Journal,Journal of Cardiovascular Magnetic Resonance,BioMed Central,10.1186/1532-429X-17-S1-W12,Reproducibility of three different cardiac T2-mapping sequences at 1.5T and impact of cofactors on T2-relaxation times,0,,,,1.0,Magnetic Resonance Imagery,Brain Research
Reproducibility,2055001467,2539506707; 2321428969; 2543582497; 2317398862; 2664501504; 2540417749; 2556476518,van der Zee Ch; Priesterbach Ar; van der Dussen L; Kap A; Schepers Vp; Visser-Meily Jm; Post Mw,7,5,0,0.0,0.0,,0.0,,,,psychology; physical therapy; standard deviation; rehabilitation; standard error; reproducibility; statistics; intraclass correlation,2010,Journal,Journal of Rehabilitation Medicine,J Rehabil Med,10.2340/16501977-0589,"REPROduCIBILITY OF THREE SELF-REPORT PARTICIPATION MEASuRES: THE ICF MEASuRE OF PARTICIPATION ANd ACTIVITIES SCREENER, THE PARTICIPATION SCALE, ANd THE uTRECHT SCALE FOR EVALuATION OF REHABILITATION-PARTICIPATION",70,"Objective: To assess the reproducibility of 3 participation measures. Design: Repeated administration of a postal questionnaire with a 2-week interval. Participants: Outpatients (n = 47) from 2 rehabilitation centres and a university hospital in The Netherlands. Methods: Measures were the ICF Measure of Participation and Activities Screener (IMPACT-S), the Participation Scale, and the Utrecht Scale for Evaluation of RehabilitationParticipation (USER-P). Test-retest reliability was analysed using Cohen’s weighted kappa and the intraclass correlation coefficient (ICC). Agreement was expressed as the standard error of measurement and the smallest detectable change (SDC), substantiated as the ratio between the SDC and the standard deviation (SDC/SD). Results: ICC values of the IMPACT-S were 0.54–0.90 for the scale scores, 0.92 and 0.74 for sub-total scores Activities and Participation, and 0.88 for the total score. The ICC of the Participation Scale was 0.82. The ICC of the USER-P was 0.65 for the Frequency scale, 0.85 for the Restrictions scale, and 0.84 for the Satisfaction scale. The SDC/SD ratios for all measures were small (0.11–0.28) at the group level, but large (0.78–1.91) at the individual level. Most participants found all measures relevant and easy to complete. Conclusion: All 3 measures showed generally satisfying reproducibility and were acceptable to the participants.",WOS:000281927000008,journal of rehabilitation medicine,1.0,Physical Therapy; Brain Injury,Brain Research
Reproducibility,1997463398,2130025542; 2549660390; 2560902430; 2074599724; 2493442453,Raphael Olszewski; T. Dontaine; R. Khonsari; Francis Zech; Hervé Reychler,5,3,0,0.0,0.0,,,0.0,,,cone beam computed tomography; cephalometric analysis; pathology; reproducibility; medicine; radiology,2013,Journal,International Journal of Oral and Maxillofacial Surgery,Elsevier,10.1016/j.ijom.2013.07.295,Reproducibility of three-dimensional mandibular cephalometric analysis using cone beam computed tomography,0,,,,1.0,Oral Surgery,Health Professionals
Reproducibility,2606567503,2085385507; 2570428107; 2609496334; 2006685586; 2339817534,R. Stübi; H. Schill; J. Klausen; Laurent Vuilleumier; Dominique Ruffieux,5,3,1,0.5,,,,0.0,1.0,1.0,calibration; geology; atmospheric sciences; reproducibility; ozone,2017,Journal,Journal of Geophysical Research,,10.1002/2016JD025735,Reproducibility of total ozone column monitoring by the Arosa Brewer spectrophotometer triad,1,"The historical review of the total ozone column measurements with the Arosa Brewer triad in operation since 1998 is presented. The calibration history of the different instruments and the data quality control performed at Arosa are described. Over the last 15 years, the Brewer triad shows a dispersion of ∼0.4% between the three collocated instruments and a long-term stability of ±0.5%. These values are a reference metric achievable with well-maintained Brewer instruments under favorable measurement conditions.",WOS:000401180800035,journal of geophysical research-atmospheres,1.0,Atmospheric GeoPhysics,Earth Sciences
Reproducibility,1972575601,2085205023; 2531093602; 2123130055; 134417269; 2082830794; 2430697600; 2401051068; 2462490446; 2129030572,Thomas Baum; Yvonne Dütsch; Dirk Müller; Roberto Monetti; Irina Sidorenko; C. Räth; Ernst J. Rummeny; Thomas M. Link; Jan S. Bauer,9,1,3,0.375,0.0,1.0,0.0,0.0,1.0,1.0,pathology; magnetic resonance imaging; radiology; reproducibility; root mean square; medicine,2012,Journal,Journal of Computer Assisted Tomography,J Comput Assist Tomogr,10.1097/RCT.0b013e31825f9aa3,Reproducibility of trabecular bone structure measurements of the distal radius at 1.5 and 3.0 T magnetic resonance imaging.,10,"The purpose of this study was to assess and compare the reproducibility of trabecular bone structure measurements of the distal radius at 1.5 and 3.0 T magnetic resonance imaging (MRI). Root mean square reproducibility errors ranged from 0.69% to 4.94% at 1.5 T MRI and from 0.38% to 5.80% at 3.0 T MRI. Thus, reproducibility errors of trabecular bone structure measurements are overall in an acceptable range and similar at 1.5 and 3.0 T MRI.",WOS:000309518100020,journal of computer assisted tomography,1.0,Medical Imaging,Brain Research
Reproducibility,2574997936,2151954737; 2122619432; 2281749463; 720798224; 2256641231; 1985585155; 2426173673; 1963811713; 2097511616; 2158896507; 1177309716; 2571997869; 2114138198,Ashley Acheson; Stephen A. McGuire; Paul Sherman; Peter Kochunov; Donald M. Dougherty; S. Andrea Wijtenburg; Laura M. Rowland; Anderson M. Winkler; Charles W. Mathias; L. Elliot Hong; Neda Jahanshad; Binish Patel; Paul M. Thompson,13,1,4,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,statistics; white matter; heritability; psychology; fractional anisotropy; developmental psychology; diffusion mri; reproducibility,2017,Journal,Brain and behavior,United States,10.1002/brb3.615,Reproducibility of tract-based white matter microstructural measures using the ENIGMA-DTI protocol.,5,"Background
In preparation for longitudinal analyses of white matter development in youths with family histories of substance use disorders (FH+) or without such histories (FH−), we examined the reproducibility and reliability of global and regional measures of fractional anisotropy (FA) values, measured using the Enhancing Neuro Imaging Genetics Through Meta Analysis (ENIGMA)-diffusion tensor imaging (DTI) protocol. Highly reliable measures are necessary to detect any subtle differences in brain development.

Methods
First, we analyzed reproducibility data in a sample of 12 healthy young adults (ages 20–28) imaged three times within a week. Next, we calculated the same metrics in data collected 1-year apart in the sample of 68 FH+ and 21 FH− adolescents. This is a timeframe where within subject changes in white matter microstructure are small compared to between subject variance. Reproducibility was estimated by examining mean coefficients of variation (MCV), mean absolute differences (MAD), and intraclass correlations (ICC) for global and tract-specific FA values.

Results
We found excellent reproducibility for whole-brain DTI-FA values and most of the white matter tracts, except for the corticospinal tract and the fornix in both adults and youths. There was no significant effect of FH-group on reproducibility (p = .4). Reproducibility metrics were not significantly different between adolescents and adults (all p > .2). In post hoc analyses, the reproducibility metrics for regional FA values showed a strong positive correlation (r = .6) with the regional FA heritability measures previously reported by ENIGMA-DTI.

Conclusion
Overall, this study demonstrated an excellent reproducibility of ENIGMA-DTI FA, positing it as viable analysis tools for longitudinal studies and other protocols that repeatedly assess white matter microstructure.",WOS:000395630900011,brain and behavior,,,
Reproducibility,2239999543,2060124806; 226772441; 1925154560; 247387776,Raphaël Giraud; Nils Siegenthaler; Paolo Merlani; Karim Bendjelid,4,1,0,0.0,,0.0,0.0,0.0,,0.0,intensive care medicine; reproducibility; clinical practice; medicine; cardiac output,2017,Journal,Journal of Clinical Monitoring and Computing,J Clin Monit Comput,10.1007/s10877-016-9823-y,Reproducibility of transpulmonary thermodilution cardiac output measurements in clinical practice: a systematic review.,0,"Measuring cardiac output (CO) is an integral part of the diagnostic and therapeutic strategy in critically ill patients. During the last decade, the single transpulmonary thermodilution (TPTD) technique was implemented in clinical practice. The purpose of this paper was to systematically review and critically assess the existing data concerning the reproducibility of CO measured using TPTD (COTPTD). A total of 16 studies were identified to potentially be included in our study because these studies had the required information that allowed for calculating the reproducibility of COTPTD measurements. 14 adult studies and 2 pediatric studies were analyzed. In total, 3432 averaged CO values in the adult population and 78 averaged CO values in the pediatric population were analyzed. The overall reproducibility of COTPTD measurements was 6.1 ± 2.0 % in the adult studies and 3.9 ± 2.9 % in the pediatric studies. An average of 3 boluses was necessary for obtaining a mean CO value. Achieving more than 3 boluses did not improve reproducibility; however, achieving less than 3 boluses significantly affects the reproducibility of this technique. The present results emphasize that TPTD is a highly reproducible technique for monitoring CO in critically ill patients, especially in the pediatric population. Our findings suggest that obtaining a mean of 3 measurements for determining CO values is recommended.",WOS:000393049700004,journal of clinical monitoring and computing,1.0,Medical Image Processing,Electrical Engineering & Computer Science
Reproducibility,2039783493,2443507757; 1985098027; 2499557515; 2508107731; 2517319103; 2510010043; 2235985402,Krzysztof Jonderko; Magdalena Kamińska; Anna Kasicka-Jonderko; Mał gorzata Bożek; Magdalena Radosz; Karolina Szostak; Barbara Błońska-Fajfrowska,7,1,5,0.8333333333333334,0.0,1.0,1.0,,1.0,1.0,chemistry; breath test; reproducibility; radiochemistry; diabetes mellitus,2013,Journal,Isotopes in Environmental and Health Studies,Isotopes Environ Health Stud,10.1080/10256016.2013.750244,Reproducibility of two 13CO2 breath tests dedicated to assess pancreatic exocrine function,0,"The aim of this study was to check on the reproducibility of two breath tests intended to test the pancreatic exocrine function accomplished with 13C-mixed triglyceride (13C-MTG) or cornflakes naturally enriched in 13C (13C-CF). The 13CO2 content within breath samples was determined with isotope-selective non-dispersive infrared spectrometry. A 72-h monitoring performed in healthy subjects revealed that a statistically significant rise in breath 13CO2 occurs between the 1st and the 9th hour and between the 1st and the 24th hour after intake of a test meal containing 300 mg 13C-MTG (n=10) or 100 g 13C-CF (n=12), respectively. In another two groups of 12 healthy volunteers each, short-term reproducibility of the two tests was assessed with paired examinations taken at a median interval of two days, whereas paired examinations separated by a median of 20 days served for the medium-term reproducibility assessment. In the case of either test, the medium-term reproducibility was not any worse than the short-ter...",WOS:000320017800006,isotopes in environmental and health studies,1.0,Atmospheric GeoPhysics,Earth Sciences
Reproducibility,2090552445,2692763301; 2669319671; 2711513295; 2308570112; 2652975765,L. Beales; S. Wolstenhulme; J. A. Evans; Robert M. West; D. J. A. Scott,5,4,0,0.0,,,,0.0,,,repeatability; abdominal aorta; abdominal aortic aneurysm; reproducibility; inclusion and exclusion criteria; surgery; medicine; ultrasound,2011,Journal,British Journal of Surgery,Br J Surg,10.1002/bjs.7628,Reproducibility of ultrasound measurement of the abdominal aorta,88,"Background:
Abdominal aortic aneurysm (AAA) screening and surveillance programmes use ultrasound imaging to measure the anteroposterior (AP) diameter of the infrarenal aorta. The aim of this study was to examine potential observer bias and variability in ultrasound measurements.

Methods:
Studies were identified for review via a MEDLINE database search (1966–2009). References supplied in accessed papers were also checked for potential relevance. Consistent search terminology, and inclusion and exclusion criteria were used to ensure quality of data. Nine papers were available to review.

Results:
Variation in intraobserver repeatability and interobserver reproducibility was identified. Six studies reported intraobserver repeatability coefficients for AP aortic diameter measurements of 1·6–4·4 mm. These were below the 5-mm level regarded as acceptable by the UK and USA AAA screening programmes. Five studies had interobserver reproducibility below the level of 5 mm. Four studies, however, reported poor reproducibility (range from − 2 to + 5·2 to − 10·5 to + 10·4); these differences may have had a significant clinical impact on screening and surveillance.

Conclusion:
The studies used different methodologies with no standardized measurement techniques. Measurements were taken by observers from different medical disciplines of varying grade and levels of training. Standard training and formal quality assurance of ultrasound measurements are important components of an effective AAA screening programme. Copyright © 2011 British Journal of Surgery Society Ltd. Published by John Wiley & Sons, Ltd.",WOS:000296193400004,british journal of surgery,1.0,Surgery,Medical Specialties
Reproducibility,2623818925,1218457847; 2669868727; 2571422600; 2703459308; 2274226068; 2100624204; 1965241698; 2025869281; 2624169911; 2717943612; 2037953915; 2100676562; 2631004541; 2320304338; 2624019180; 2646004036; 2644047987; 2705374796; 2717002804; 2710985108; 2133469004; 2638030253; 2127452335; 2321841298; 2637370500; 2706272224; 2321817050,Tetsuo Yasutaka; Toshihiko Miura; Shinji Miyaguchi; Kunihide Nakajou; Mitsuhiro Sumikura; Ken-ichi Ito; Shuichi Tamoto; Takeshi Tatsuhara; Tomoyuki Chida; Kei Hirata; Ken Arroyo Ohori; Angelica Naka; Masayuki Someya; Masahiko Katoh; Madoka Umino; Masanori Negishi; Keijiro Ito; Junichi Kojima; Shohei Ogawa; Gotthard Kunze; Hirofumi Sakanakura; Akihiko Kurosawa; Toru Inui; Miyuki Takeo; Seiji Inoba; Yasutaka Watanabe; Takuro Fujikawa,27,17,3,0.3,,,0.0,,,,chromatography; geology; percolation; reproducibility; soil water,2017,Journal,PLOS ONE,,10.1371/journal.pone.0178979,Reproducibility of up-flow column percolation tests for contaminated soils,0,,WOS:000402837600065,plos one,1.0,Molecular Biology Methods,Infectious Diseases
Reproducibility,2057339074,151778620; 1995453170; 2118472769; 2668064902; 2060869742; 2132758837; 2126153531; 2139225133; 2066246622; 115959345; 2251992767,Todd A. Jusko; Henning Tiemeier; Matthew P. Longnecker; Pamela A. Shaw; Claudia A. Snijder; Frank H. Pierik; Holger M. Koch; Russ Hauser; Vincent W. V. Jaddoe; Alex Burdorf; Albert Hofman,11,0,2,0.18181818181818185,0.0,0.0,0.0,1.0,1.0,0.0,generation r; internal medicine; environmental chemistry; confidence interval; pregnancy; intraclass correlation; diabetes mellitus; endocrinology; medicine; reproducibility; urinary system,2014,Journal,Journal of Exposure Science and Environmental Epidemiology,J Expo Sci Environ Epidemiol,10.1038/jes.2014.23,Reproducibility of urinary bisphenol A concentrations measured during pregnancy in the Generation R Study,12,"The potential human health effects of bisphenol A (BPA) exposure are a public health concern. In order to design adequately powered epidemiological studies to address potential health effects, data on the reproducibility of BPA concentration in seri al urine specimens taken during pregnancy are needed. To provide additional data on the reproducibility of maternal urine specimens, 80 women in the Generation R Study (Rotterdam, The Netherlands) contributed a spot urine specimen at o18, 18–25, and 425 weeks of pregnancy. Reproducibility, estimated by the intraclass correlation coefficient (ICC), was 0.32 (95% confidence interval: 0.18–0.46), and, on a creatinine basis, 0.31 (95% confidence interval: 0.16–0.47). Although the ICC observed in the Generation R Study is slightly higher than previous reproducibility studies of BPA, it nevertheless indicates a high degree of within-person variability that presents challenges for designing well-powered epidemiologic studies.",WOS:000340316200012,journal of exposure science and environmental epidemiology,1.0,Air Quality,Earth Sciences
Reproducibility,2072203463,2006976275; 681720661; 2050452316; 1894310331; 2191918218; 1974377626; 611889410; 2098758526,Bérengère Aubry-Rozier; Roland Chapurlat; F. Duboeuf; Katia Iglesias; Marc-Antoine Krieg; Olivier Lamy; Bernard Burnand; D. Hans,8,4,1,0.25,,0.0,,1.0,,,reproducibility; medicine; cohen s kappa; clinical practice; cohort; kappa; radiology; dual energy x ray absorptiometry,2015,Journal,Journal of Clinical Densitometry,Elsevier,10.1016/j.jocd.2014.09.001,Reproducibility of Vertebral Fracture Assessment Readings From Dual-energy X-ray Absorptiometry in Both a Population-based and Clinical Cohort: Cohen's and Uniform Kappa,1,"Abstract Vertebral fracture assessments (VFAs) using dual-energy X-ray absorptiometry increase vertebral fracture detection in clinical practice and are highly reproducible. Measures of reproducibility are dependent on the frequency and distribution of the event. The aim of this study was to compare 2 reproducibility measures, reliability and agreement, in VFA readings in both a population-based and a clinical cohort. We measured agreement and reliability by uniform kappa and Cohen's kappa for vertebral reading and fracture identification: 360 VFAs from a population-based cohort and 85 from a clinical cohort. In the population-based cohort, 12% of vertebrae were unreadable. Vertebral fracture prevalence ranged from 3% to 4%. Inter-reader and intrareader reliability with Cohen's kappa was fair to good (0.35–0.71 and 0.36–0.74, respectively), with good inter-reader and intrareader agreement by uniform kappa (0.74–0.98 and 0.76–0.99, respectively). In the clinical cohort, 15% of vertebrae were unreadable, and vertebral fracture prevalence ranged from 7.6% to 8.1%. Inter-reader reliability was moderate to good (0.43–0.71), and the agreement was good (0.68–0.91). In clinical situations, the levels of reproducibility measured by the 2 kappa statistics are concordant, so that either could be used to measure agreement and reliability. However, if events are rare, as in a population-based cohort, we recommend evaluating reproducibility using the uniform kappa, as Cohen's kappa may be less accurate.",WOS:000354667800017,journal of clinical densitometry,1.0,Bone & Osteoporosis,Medical Specialties
Reproducibility,2017238103,2652893082; 2421919766; 2114687576; 2100036585; 2110959233; 2617614151; 286328827; 2143099658; 22940380; 2311880346; 1979651572; 2167883942,Daniel Chong; Katherine Yang; Yongha Jung; Jonathan G. Goldin; Matthew S. Brown; Hyun J. Kim; Eva M. van Rikxoort; Laura Guzman; Michael F. McNitt-Gray; M Khatonabadi; Maya Galperin-Aizenberg; Heidi Coy,12,2,6,0.6,0.0,1.0,,0.0,0.0,1.0,medicine; lung volumes; reproducibility; nuclear medicine; radiology; computed tomography; pathology,2012,Journal,European Radiology,Springer-Verlag,10.1007/s00330-011-2277-1,Reproducibility of volume and densitometric measures of emphysema on repeat computed tomography with an interval of 1 week,13,"Objectives
The reproducibilities of CT lung volume and densitometric measures of emphysema were assessed over 1 week. The influence of breathhold on reproducibility was assessed.",WOS:000298651000003,european radiology,1.0,Medical Imaging,Brain Research
Reproducibility,2605017215,2009824390; 2028190784; 2437692697; 2077567364; 2141023652; 278652177; 2142943850; 2634112913; 2024121100; 2604368042,N Naguib; Nour-Eldin A. Nour-Eldin; Ahmed Emam; Tatjana Gruber-Rouh; Marc Harth; Renate Hammersting; Hanns Ackermann; Iris Burck; Benjamin Kaltenbach; Thomas J. Vog,10,2,3,0.375,,,0.0,1.0,0.0,0.0,reproducibility; inner ear; radiology; medicine,2017,Journal,Current Medical Imaging Reviews,,10.2174/1573405613666170331104444,Reproducibility of Volumetric Assessment of the Inner Ear Using Three Dimensional Reconstruction of the High Resolution MR Sequence,0,,,,1.0,Nuclear Medicine,Medical Specialties
